"","venue","headliner","support","weekday","date","time","ticket_price"
"23","9:30 Club","      Frank Black"," Frank Black & The Catholics    ","Wednesday",1996-03-13,"",""
"24","9:30 Club","      Porno for Pyros     ",NA,"Monday",1996-07-08,"",""
"25","9:30 Club","      Del Amitri     ",NA,"Monday",1996-03-18,"",""
"26","9:30 Club","      Imperial Drag"," The Meices and Eve's Plum    ","Saturday",1996-07-27,"",""
"27","9:30 Club","      The Dandy Warhols     ",NA,"Monday",1996-04-01,"",""
"28","9:30 Club","      Buffalo Tom     ",NA,"Saturday",1996-12-14,"",""
"29","9:30 Club","      Gene and Stereolab     ",NA,"Friday",1996-05-24,"",""
"30","9:30 Club","      Pulp     ",NA,"Tuesday",1996-06-04,"",""
"31","9:30 Club","      Electrafixion     ",NA,"Thursday",1996-05-30,"",""
"32","9:30 Club","      Fugazi     ",NA,"Wednesday",1996-01-31,"",""
"33","9:30 Club","      Eels and Lush     ",NA,"Friday",1996-08-30,"",""
"34","9:30 Club","      Elliott Smith     ",NA,"Sunday",1996-09-08,"",""
"35","9:30 Club","      Luna     ",NA,"Friday",1996-01-19,"",""
"36","9:30 Club","      Luna     ",NA,"Saturday",1996-10-19,"",""
"37","9:30 Club","      Deep Purple     ",NA,"Monday",1996-11-25,"",""
"38","9:30 Club","      Descendents"," Swingin' Utters and The Bouncing Souls    ","Friday",1996-12-13,"",""
"39","9:30 Club","      Bob Mould     ",NA,"Thursday",1996-10-10,"",""
"40","9:30 Club","      Korn"," Sugar Ray and Life of Agony    ","Monday",1996-01-22,"",""
"41","9:30 Club","      Meat Beat Manifesto     ",NA,"Saturday",1996-09-07,"",""
"42","9:30 Club","      Smashing Pumpkins     ",NA,"Friday",1996-01-05,"",""
"43","9:30 Club","      Smashing Pumpkins     ",NA,"Saturday",1996-01-06,"",""
"44","9:30 Club","      Soul Coughing     ",NA,"Saturday",1996-07-13,"",""
"45","9:30 Club","      Steve Earle     ",NA,"Friday",1996-12-06,"",""
"46","9:30 Club","      The Pogues     ",NA,"Sunday",1996-04-14,"",""
"47","9:30 Club","      Marshall Crenshaw     ",NA,"Tuesday",1996-10-15,"",""
"48","9:30 Club","      They Might Be Giants     ",NA,"Wednesday",1996-01-17,"",""
"49","9:30 Club","      They Might Be Giants     ",NA,"Friday",1996-12-27,"",""
"50","9:30 Club","      Everclear"," Ruth Ruth    ","Saturday",1996-02-17,"",""
"51","9:30 Club","      The Tragically Hip     ",NA,"Monday",1996-09-30,"",""
"52","9:30 Club","      The Tragically Hip     ",NA,"Wednesday",1996-05-29,"",""
"53","9:30 Club","      Morphine     ",NA,"Sunday",1996-04-14,"",""
"54","9:30 Club","      Morphine     ",NA,"Monday",1996-04-15,"",""
"55","9:30 Club","      The Afghan Whigs     ",NA,"Wednesday",1996-06-12,"",""
"56","9:30 Club","      The Cult and Holy Barbarians     ",NA,"Tuesday",1996-05-21,"",""
"57","9:30 Club","      Idaho"," Lotion    ","Saturday",1996-05-04,"",""
"58","9:30 Club","      Squeeze     ",NA,"Wednesday",1996-07-24,"",""
"59","9:30 Club","      Alvin Lee and Alvin Lee And Ten Years After     ",NA,"Tuesday",1996-05-28,"",""
"60","9:30 Club","      The Jesus Lizard"," The Jon Spencer Blues Explosion","Monday",1996-12-30,"",""
"61","9:30 Club","      The Lemonheads     ",NA,"Saturday",1996-10-26,"",""
"62","9:30 Club","      Maria McKee     ",NA,"Sunday",1996-03-24,"",""
"63","9:30 Club","      Archers of Loaf     ",NA,"Saturday",1996-02-24,"",""
"64","9:30 Club","      Peter Himmel     ",NA,"Monday",1996-06-10,"",""
"65","9:30 Club","      Michelle Shocked     ",NA,"Thursday",1996-11-14,"",""
"66","9:30 Club","      The Mighty Mighty Bosstones     ",NA,"Saturday",1996-05-18,"",""
"67","9:30 Club","      Bruce Cockburn     ",NA,"Monday",1996-04-29,"",""
"68","9:30 Club","      Lisa Loeb"," Mike Shupp    ","Friday",1996-03-01,"",""
"69","9:30 Club","      Korn"," Limp Bizkit","Sunday",1996-11-10,"",""
"70","9:30 Club","      Faith No More"," Limp Bizkit    ","Tuesday",1997-09-16,"",""
"71","9:30 Club","      KMFDM"," Pig    ","Sunday",1997-11-23,"",""
"72","9:30 Club","      The Verve     ",NA,"Monday",1997-11-03,"",""
"73","9:30 Club","      Juliana Hatfield     ",NA,"Friday",1997-12-19,"",""
"74","9:30 Club","      Melvins and Helmet"," Wharton Tiers Ensemble    ","Saturday",1997-09-27,"",""
"75","9:30 Club","      Our Lady Peace     ",NA,"Saturday",1997-10-18,"",""
"76","9:30 Club","      Dinosaur Jr.     ",NA,"Friday",1997-04-25,"",""
"77","9:30 Club","      Soul Coughing     ",NA,"Thursday",1997-03-06,"",""
"78","9:30 Club","      Juliana Hatfield     ",NA,"Sunday",1997-02-16,"",""
"79","9:30 Club","      The Sundays     ",NA,"Wednesday",1997-12-03,"",""
"80","9:30 Club","      Wilco     ",NA,"Thursday",1997-02-13,"",""
"81","9:30 Club","      MOE.     ",NA,"Wednesday",1997-11-12,"",""
"82","9:30 Club","      Better Than Ezra     ",NA,"Thursday",1997-07-31,"",""
"83","9:30 Club","      Catherine Wheel"," Ghandarvas    ","Monday",1997-12-08,"",""
"84","9:30 Club","      Cranes     ",NA,"Friday",1997-03-14,"",""
"85","9:30 Club","      The Orb     ",NA,"Sunday",1997-07-27,"",""
"86","9:30 Club","      Our Lady Peace and Everclear"," Letters to Cleo    ","Sunday",1997-11-16,"",""
"87","9:30 Club","      Citizen Cope"," 3lg and Opus Akoben    ","Friday",1997-07-11,"",""
"88","9:30 Club","      Superchunk"," Mark Robinson and Eric Bachmann    ","Friday",1997-10-31,"",""
"89","9:30 Club","      Maceo Parker"," Medeski","Thursday",1997-05-22,"",""
"90","9:30 Club","      Elysian Fields     ",NA,"Saturday",1997-05-17,"",""
"91","9:30 Club","      James     ",NA,"Thursday",1997-02-27,"",""
"92","9:30 Club","      John Lydon     ",NA,"Wednesday",1997-09-10,"",""
"93","9:30 Club","      Monaco"," Revenge    ","Tuesday",1997-08-05,"",""
