"","venue","headliner","support","weekday","date","time","ticket_price"
"4356","Birchmere","      Ozomatli"," Brazilian Girls    ","Saturday",2004-10-16,"",""
"4357","Birchmere","      Ollabelle and Buddy Miller     ",NA,"Sunday",2004-02-15,"",""
"4358","Birchmere","      Kimberley Locke"," Oktbrwrld    ","Monday",2004-10-04,"",""
"4359","Birchmere","      Train     ",NA,"Tuesday",2004-03-30,"",""
"4360","Birchmere","      Sarah Harmer"," Hayden    ","Saturday",2004-04-17,"",""
"4361","Birchmere","      Bellydance Superstars     ",NA,"Thursday",2004-03-11,"",""
"4362","Birchmere","      Joan Baez     ",NA,"Friday",2004-10-29,"",""
"4363","Birchmere","      Todd Snider and Mary Prankster     ",NA,"Thursday",2004-08-26,"",""
"4364","Birchmere","      Vanessa Carlton"," Low Millions    ","Monday",2004-11-01,"",""
"4365","Birchmere","      Katie Melua"," Jake Shimabukuro    ","Tuesday",2004-06-22,"",""
"4366","Birchmere","      Marc Cohn"," Amos Lee    ","Monday",2004-01-05,"",""
"4367","Birchmere","      Doc Watson & Sam Bush     ",NA,"Wednesday",2004-01-07,"",""
"4368","Birchmere","      Funk Brothers"," Peabo Bryson and Raul Mid�_n    ","Monday",2004-01-19,"",""
"4369","Birchmere","      Earl Scruggs with Family & Friends     ",NA,"Thursday",2004-02-19,"",""
"4370","Birchmere","      Buddy Guy"," Jackie Greene    ","Monday",2004-03-15,"",""
"4371","Birchmere","      Tift Merritt and Last Train Home     ",NA,"Friday",2004-05-07,"",""
"4372","Birchmere","      Seldom Scene and Gibson Brothers     ",NA,"Friday",2004-05-14,"",""
"4373","Birchmere","      Taj Mahal"," Raul Mid�_n    ","Wednesday",2004-05-19,"",""
"4374","Birchmere","      John Hiatt"," Jake Shimabukuro    ","Tuesday",2004-10-12,"",""
"4375","Birchmere","      Victor Wooten"," Oteil Burbridge","Monday",2004-09-13,"",""
"4376","Birchmere","      Los Straitjackets"," The World Famous Pontani Sisters and Kaiser George    ","Saturday",2004-12-11,"",""
"4377","Birchmere","      Richard Thompson     ",NA,"Tuesday",2004-10-26,"",""
"4378","Birchmere","      Richard Thompson     ",NA,"Monday",2004-10-25,"",""
"4379","Birchmere","      Marcus Miller     ",NA,"Sunday",2004-06-20,"",""
"4380","Birchmere","      Jerry Jeff Walker     ",NA,"Wednesday",2004-02-25,"",""
"4381","Birchmere","      Jackopierce     ",NA,"Friday",2004-11-19,"",""
"4382","Birchmere","      Patty Griffin     ",NA,"Tuesday",2004-05-11,"",""
"4383","Birchmere","      Bob Mould     ",NA,"Saturday",2004-12-04,"",""
"4384","Birchmere","      Little Feat     ",NA,"Thursday",2004-11-18,"",""
"4385","Birchmere","      Steve Earle     ",NA,"Tuesday",2004-05-25,"",""
"4386","Birchmere","      Joe Ely     ",NA,"Friday",2004-04-02,"",""
"4387","Birchmere","      Joe Ely     ",NA,"Saturday",2004-04-03,"",""
"4388","Birchmere","      Joe Ely     ",NA,"Wednesday",2004-10-20,"",""
"4389","Birchmere","      Vienna Teng     ",NA,"Thursday",2004-04-22,"",""
"4390","Birchmere","      Janis Ian     ",NA,"Saturday",2004-05-22,"",""
"4391","Birchmere","      Tony Rice     ",NA,"Friday",2004-02-06,"",""
"4392","Birchmere","      Tony Rice     ",NA,"Saturday",2004-07-10,"",""
"4393","Birchmere","      The Subdudes     ",NA,"Tuesday",2004-05-04,"",""
"4394","Birchmere","      Nanci Griffith     ",NA,"Wednesday",2004-02-18,"",""
"4395","Birchmere","      Nanci Griffith     ",NA,"Tuesday",2004-02-17,"",""
"4396","Birchmere","      Southside Johnny & The Asbury Jukes     ",NA,"Friday",2004-06-25,"",""
"4397","Birchmere","      Southside Johnny & The Asbury Jukes     ",NA,"Saturday",2004-06-26,"",""
"4398","Birchmere","      Southside Johnny & The Asbury Jukes     ",NA,"Tuesday",2004-12-28,"",""
"4399","Birchmere","      Southside Johnny & The Asbury Jukes     ",NA,"Wednesday",2004-12-29,"",""
"4400","Birchmere","      Jamie Cullum     ",NA,"Sunday",2004-05-23,"",""
"4401","Birchmere","      Strawbs     ",NA,"Thursday",2004-07-08,"",""
"4402","Birchmere","      Dark Star Orchestra     ",NA,"Saturday",2004-11-13,"",""
"4403","Birchmere","      Blackmore's Night     ",NA,"Tuesday",2004-09-14,"",""
"4404","Birchmere","      Arlo Guthrie     ",NA,"Thursday",2004-11-04,"",""
"4405","Birchmere","      Suzy Bogguss     ",NA,"Friday",2004-12-10,"",""
"4406","Birchmere","      Suzy Bogguss     ",NA,"Saturday",2004-07-17,"",""
"4407","Birchmere","      Johnny A.     ",NA,"Thursday",2004-06-17,"",""
"4408","Birchmere","      Dave Alvin & The Guilty Men     ",NA,"Wednesday",2004-07-28,"",""
"4409","Birchmere","      Foreigner     ",NA,"Tuesday",2005-06-07,"",""
"4410","Birchmere","      Richard Thompson"," Eliza Gilkyson    ","Tuesday",2005-11-01,"",""
"4411","Birchmere","      Kathleen Edwards"," Mary Gauthier    ","Friday",2005-05-13,"",""
"4412","Birchmere","      Ryan Cabrera"," Aslyn and Kyle Riabko    ","Wednesday",2005-02-23,"",""
"4413","Birchmere","      Liz Phair"," Cary Brothers    ","Thursday",2005-08-04,"",""
"4414","Birchmere","      Duncan Sheik"," David Poe    ","Wednesday",2005-08-24,"",""
"4415","Birchmere","      Michael Penn"," Shivaree    ","Tuesday",2005-10-11,"",""
"4416","Birchmere","      Feist     ",NA,"Sunday",2005-09-11,"",""
"4417","Birchmere","      Katie Melua     ",NA,"Sunday",2005-02-20,"",""
"4418","Birchmere","      Asleep At the Wheel     ",NA,"Tuesday",2005-01-18,"",""
"4419","Birchmere","      Orchestra Baobab     ",NA,"Saturday",2005-03-19,"",""
"4420","Birchmere","      Leo Kottke     ",NA,"Friday",2005-04-01,"",""
"4421","Birchmere","      Raul Mid�_n     ",NA,"Sunday",2005-08-28,"",""
"4422","Birchmere","      Los Lobos     ",NA,"Tuesday",2005-09-27,"",""
"4423","Birchmere","      War     ",NA,"Tuesday",2005-11-08,"",""
"4424","Birchmere","      Jane Monheit     ",NA,"Monday",2005-12-12,"",""
"4425","Birchmere","      Ottmar Liebert     ",NA,"Monday",2005-11-28,"",""
"4426","Birchmere","      Caf̩ Tacvba     ",NA,"Tuesday",2005-06-21,"",""
"4427","Birchmere","      Joan Baez     ",NA,"Thursday",2005-11-03,"",""
"4428","Birchmere","      Joan Baez     ",NA,"Wednesday",2005-11-02,"",""
"4429","Birchmere","      Ben Lee and Aimee Mann     ",NA,"Monday",2005-05-23,"",""
"4430","Birchmere","      Ben Lee and Aimee Mann     ",NA,"Tuesday",2005-05-24,"",""
"4431","Birchmere","      Bob Mould"," Kristin Hersh    ","Tuesday",2005-11-29,"",""
"4432","Birchmere","      Emmylou Harris"," Buddy Miller    ","Monday",2005-11-07,"",""
"4433","Birchmere","      Ricky Skaggs and Kentucky Thunder     ",NA,"Friday",2005-01-07,"",""
"4434","Birchmere","      Jimmie Dale Gilmore"," Blue Rhythm Boys    ","Tuesday",2005-02-22,"",""
"4435","Birchmere","      Taj Mahal"," Melanie Mason    ","Sunday",2005-05-22,"",""
"4436","Birchmere","      Oliver Mtukudzi"," Black Spirits    ","Wednesday",2005-06-08,"",""
"4437","Birchmere","      Buckwheat Zydeco and Rebirth Brass Band     ",NA,"Saturday",2005-06-18,"",""
"4438","Birchmere","      Liz Phair"," Cary Brothers    ","Friday",2005-08-05,"",""
"4439","Birchmere","      What I Like About Jew     ",NA,"Monday",2005-12-26,"",""
"4440","Birchmere","      Nellie McKay"," Trachtenburg Family Slideshow Players    ","Thursday",2005-06-30,"",""
"4441","Birchmere","      Lyle Lovett"," John Hiatt","Monday",2005-02-14,"",""
"4442","Birchmere","      Richard Thompson and Richard Shindell     ",NA,"Monday",2005-10-31,"",""
"4443","Birchmere","      Marcus Miller     ",NA,"Sunday",2005-09-25,"",""
"4444","Birchmere","      Amos Lee     ",NA,"Wednesday",2005-10-05,"",""
"4445","Birchmere","      Jackopierce     ",NA,"Saturday",2005-11-12,"",""
"4446","Birchmere","      Hem and All About Hem     ",NA,"Friday",2005-04-29,"",""
"4447","Birchmere","      Little Feat     ",NA,"Monday",2005-04-11,"",""
"4448","Birchmere","      Poco"," Pure Prairie League    ","Wednesday",2005-07-13,"",""
"4449","Birchmere","      Joe Ely     ",NA,"Wednesday",2005-02-16,"",""
"4450","Birchmere","      Joe Ely and Paul Brady     ",NA,"Monday",2005-02-21,"",""
"4451","Birchmere","      Vienna Teng and Marillion     ",NA,"Wednesday",2005-06-22,"",""
"4452","Birchmere","      Cracker     ",NA,"Monday",2005-03-28,"",""
"4453","Birchmere","      The Jayhawks     ",NA,"Monday",2005-03-07,"",""
"4454","Birchmere","      Nanci Griffith     ",NA,"Friday",2005-10-28,"",""
"4455","Birchmere","      Nanci Griffith     ",NA,"Thursday",2005-10-27,"",""
"4456","Birchmere","      Nanci Griffith     ",NA,"Wednesday",2005-10-26,"",""
"4457","Birchmere","      Southside Johnny & The Asbury Jukes     ",NA,"Friday",2005-06-03,"",""
"4458","Birchmere","      Southside Johnny & The Asbury Jukes     ",NA,"Wednesday",2005-12-28,"",""
"4459","Birchmere","      Southside Johnny & The Asbury Jukes     ",NA,"Thursday",2005-12-29,"",""
"4460","Birchmere","      Grace Potter     ",NA,"Friday",2005-07-29,"",""
"4461","Birchmere","      Grace Potter     ",NA,"Sunday",2005-06-05,"",""
"4462","Birchmere","      Girlyman     ",NA,"Monday",2005-11-14,"",""
"4463","Birchmere","      Neal Schon     ",NA,"Wednesday",2005-04-06,"",""
"4464","Birchmere","      Dick Dale     ",NA,"Thursday",2005-05-26,"",""
"4465","Birchmere","      Martin Sexton     ",NA,"Thursday",2005-12-22,"",""
"4466","Birchmere","      Martin Sexton     ",NA,"Wednesday",2005-12-21,"",""
"4467","Birchmere","      Strawbs     ",NA,"Thursday",2005-05-26,"",""
"4468","Birchmere","      Arlo Guthrie     ",NA,"Wednesday",2005-08-17,"",""
"4469","Birchmere","      Lisa Loeb     ",NA,"Wednesday",2005-10-19,"",""
"4470","Birchmere","      Suzy Bogguss     ",NA,"Sunday",2005-12-11,"",""
"4471","Birchmere","      Emmylou Harris     ",NA,"Thursday",2005-08-25,"",""
"4472","Birchmere","      Shelby Lynne     ",NA,"Monday",2005-07-18,"",""
"4473","Birchmere","      Bruce Cockburn     ",NA,"Tuesday",2005-10-18,"",""
"4474","Birchmere","      The Knitters     ",NA,"Friday",2005-08-12,"",""
"4475","Birchmere","      Dave Alvin & The Guilty Men     ",NA,"Friday",2005-04-22,"",""
"4476","Birchmere","      Lisa Marie Presley     ",NA,"Monday",2005-05-09,"",""
"4477","Birchmere","      David Jacobs-Strain     ",NA,"Wednesday",2005-04-20,"",""
"4478","Birchmere","      Sean Altman     ",NA,"Monday",2005-12-26,"",""
"4479","Birchmere","      Jenny Lewis"," The Whispertown 2000","Thursday",2006-03-23,"",""
"4480","Birchmere","      Josh Ritter"," Hem    ","Wednesday",2006-04-26,"",""
"4481","Birchmere","      Patterson Hood     ",NA,"Monday",2006-12-04,"",""
"4482","Birchmere","      Thomas Dolby and BT     ",NA,"Friday",2006-12-22,"",""
"4483","Birchmere","      Esthero"," W. Ellington Felton    ","Tuesday",2006-08-15,"",""
"4484","Birchmere","      Billy Bragg"," Jill Sobule    ","Sunday",2006-03-26,"",""
"4485","Birchmere","      Jerry Jeff Walker     ",NA,"Saturday",2006-07-15,"",""
"4486","Birchmere","      Chris Thile     ",NA,"Thursday",2006-10-19,"",""
"4487","Birchmere","      Rick Wakeman     ",NA,"Sunday",2006-06-18,"",""
"4488","Birchmere","      Doc Watson     ",NA,"Wednesday",2006-02-22,"",""
"4489","Birchmere","      Cowboy Junkies     ",NA,"Tuesday",2006-04-18,"",""
"4490","Birchmere","      Stephen Stills     ",NA,"Saturday",2006-05-13,"",""
"4491","Birchmere","      The Neville Brothers     ",NA,"Wednesday",2006-06-14,"",""
"4492","Birchmere","      Keith Emerson     ",NA,"Wednesday",2006-06-21,"",""
"4493","Birchmere","      Bindlestiff Family Cirkus     ",NA,"Thursday",2006-06-29,"",""
"4494","Birchmere","      Wayne Newton     ",NA,"Sunday",2006-07-30,"",""
"4495","Birchmere","      Rhythm Devils     ",NA,"Friday",2006-08-18,"",""
"4496","Birchmere","      Branford Marsalis Quartet     ",NA,"Thursday",2006-09-14,"",""
"4497","Birchmere","      Jesse Winchester     ",NA,"Friday",2006-09-29,"",""
"4498","Birchmere","      Aaron Karo     ",NA,"Thursday",2006-11-02,"",""
"4499","Birchmere","      Bellydance Superstars     ",NA,"Wednesday",2006-11-29,"",""
"4500","Birchmere","      Pete Yorn     ",NA,"Tuesday",2006-08-08,"",""
"4501","Birchmere","      Natalie MacMaster     ",NA,"Wednesday",2006-03-08,"",""
"4502","Birchmere","      Sean Lennon"," Jim Noir    ","Sunday",2006-12-17,"",""
"4503","Birchmere","      Emmylou Harris"," John Starling and Carolina Star    ","Tuesday",2006-10-24,"",""
"4504","Birchmere","      Arlo Guthrie     ",NA,"Thursday",2006-11-09,"",""
"4505","Birchmere","      M. Ward and Oakley Hall     ",NA,"Friday",2006-09-15,"",""
"4506","Birchmere","      Marc Cohn"," Amy Correia    ","Sunday",2006-07-23,"",""
"4507","Birchmere","      Susan Tedeschi Band and The Derek Trucks Band     ",NA,"Saturday",2006-11-04,"",""
"4508","Birchmere","      Alejandro Escovedo"," Mary McBride    ","Thursday",2006-01-05,"",""
"4509","Birchmere","      Ricky Skaggs and Kentucky Thunder     ",NA,"Saturday",2006-01-07,"",""
"4510","Birchmere","      Keller Williams"," Larry Keel    ","Friday",2006-01-27,"",""
"4511","Birchmere","      Bellydance Superstars     ",NA,"Thursday",2006-03-02,"",""
"4512","Birchmere","      John Hiatt"," North Mississippi Allstars    ","Sunday",2006-07-09,"",""
"4513","Birchmere","      Fighting Gravity"," Niki Barr    ","Friday",2006-09-22,"",""
"4514","Birchmere","      Anne McCue"," Erin McKeown    ","Wednesday",2006-09-27,"",""
"4515","Birchmere","      Melissa Ferrick"," Erin McKeown    ","Thursday",2006-03-30,"",""
"4516","Birchmere","      Colin Meloy"," Laura Veirs    ","Saturday",2006-01-28,"",""
"4517","Birchmere","      Patty Griffin"," Michael Fracasso    ","Monday",2006-04-17,"",""
"4518","Birchmere","      Sharon Jones & The Dap-Kings"," Binky Griptite & the Dee-kays    ","Thursday",2006-08-10,"",""
"4519","Birchmere","      Burlesque-A-Pades"," The World Famous Pontani Sisters    ","Tuesday",2006-02-14,"",""
"4520","Birchmere","      Jerry Jeff Walker     ",NA,"Friday",2006-07-14,"",""
"4521","Birchmere","      Kevin Devine     ",NA,"Sunday",2006-08-20,"",""
"4522","Birchmere","      Jackopierce     ",NA,"Saturday",2006-09-30,"",""
"4523","Birchmere","      Janis Ian     ",NA,"Saturday",2006-03-25,"",""
"4524","Birchmere","      Hem     ",NA,"Thursday",2006-06-08,"",""
"4525","Birchmere","      Patty Griffin"," Michael Fracasso    ","Sunday",2006-04-16,"",""
"4526","Birchmere","      Poco"," Pure Prairie League    ","Saturday",2006-06-17,"",""
"4527","Birchmere","      Trachtenburg Family Slideshow Players and Nellie McKay     ",NA,"Sunday",2006-01-22,"",""
"4528","Birchmere","      Joe Ely     ",NA,"Monday",2006-02-13,"",""
"4529","Birchmere","      Robin Trower     ",NA,"Sunday",2006-10-08,"",""
"4530","Birchmere","      Vienna Teng     ",NA,"Sunday",2006-08-13,"",""
"4531","Birchmere","      Alejandro Escovedo     ",NA,"Sunday",2006-12-10,"",""
"4532","Birchmere","      Kansas     ",NA,"Wednesday",2006-08-09,"",""
"4533","Birchmere","      Emmylou Harris"," John Starling and Carolina Star    ","Monday",2006-10-23,"",""
"4534","Birchmere","      Tony Rice     ",NA,"Saturday",2006-09-16,"",""
"4535","Birchmere","      Incognito     ",NA,"Wednesday",2006-02-15,"",""
"4536","Birchmere","      David Cassidy     ",NA,"Saturday",2006-08-12,"",""
"4537","Birchmere","      Southside Johnny & The Asbury Jukes     ",NA,"Friday",2006-06-16,"",""
"4538","Birchmere","      Southside Johnny & The Asbury Jukes     ",NA,"Wednesday",2006-12-27,"",""
"4539","Birchmere","      Southside Johnny & The Asbury Jukes     ",NA,"Thursday",2006-12-28,"",""
"4540","Birchmere","      Dickey Betts & Great Southern     ",NA,"Thursday",2006-06-15,"",""
"4541","Birchmere","      Dick Dale     ",NA,"Wednesday",2006-05-24,"",""
"4542","Birchmere","      Keiko Matsui     ",NA,"Sunday",2006-04-09,"",""
"4543","Birchmere","      Gillan     ",NA,"Tuesday",2006-08-22,"",""
"4544","Birchmere","      Arlo Guthrie     ",NA,"Wednesday",2006-11-08,"",""
"4545","Birchmere","      Christine Lavin and Biddies     ",NA,"Saturday",2006-11-11,"",""
"4546","Birchmere","      Br5-49     ",NA,"Tuesday",2006-01-24,"",""
"4547","Birchmere","      Ricky Skaggs     ",NA,"Friday",2006-01-06,"",""
"4548","Birchmere","      Ricky Skaggs     ",NA,"Saturday",2006-01-07,"",""
"4549","Birchmere","      The Charlie Daniels Band     ",NA,"Friday",2006-05-19,"",""
"4550","Birchmere","      Bruce Cockburn     ",NA,"Wednesday",2006-09-13,"",""
"4551","Birchmere","      Aimee Mann     ",NA,"Tuesday",2006-12-19,"",""
"4552","Birchmere","      Aimee Mann     ",NA,"Wednesday",2006-12-20,"",""
"4553","Birchmere","      Tony Rice     ",NA,"Wednesday",2006-06-14,"",""
"4554","Birchmere","      Paul Kelly     ",NA,"Thursday",2006-08-03,"",""
"4555","Birchmere","      Dave Alvin & The Guilty Men     ",NA,"Friday",2006-07-07,"",""
"4556","Birchmere","      Lisa Marie Presley     ",NA,"Wednesday",2006-10-04,"",""
"4557","Birchmere","      Steve Riley and The Mamou Playboys     ",NA,"Friday",2006-06-30,"",""
"4558","Birchmere","      Josh Ritter"," Dawn Landes    ","Sunday",2007-01-28,"",""
"4559","Birchmere","      Yo La Tengo"," Jack Rose    ","Tuesday",2007-10-23,"",""
"4560","Birchmere","      Henry Rollins     ",NA,"Monday",2007-10-01,"",""
"4561","Birchmere","      Henry Rollins     ",NA,"Tuesday",2007-10-02,"",""
"4562","Birchmere","      Taylor Hicks"," Toby Lightman    ","Monday",2007-04-16,"",""
"4563","Birchmere","      Sondre Lerche"," Thomas Dybdahl and Willy Mason    ","Thursday",2007-04-05,"",""
"4564","Birchmere","      Aimee Mann"," Ben Lee","Monday",2007-12-17,"",""
"4565","Birchmere","      Herbie Hancock Quartet     ",NA,"Sunday",2007-08-26,"",""
"4566","Birchmere","      Jonathan Coulton"," Storm    ","Friday",2007-08-31,"",""
"4567","Birchmere","      Suzanne Vega     ",NA,"Tuesday",2007-09-18,"",""
"4568","Birchmere","      Thomas Dolby     ",NA,"Friday",2007-09-21,"",""
"4569","Birchmere","      Shemekia Copeland     ",NA,"Saturday",2007-09-29,"",""
"4570","Birchmere","      Mary Lynn Rajskub     ",NA,"Sunday",2007-10-07,"",""
"4571","Birchmere","      Mint Condition     ",NA,"Wednesday",2007-10-10,"",""
"4572","Birchmere","      Lyle Lovett     ",NA,"Monday",2007-11-12,"",""
"4573","Birchmere","      Brandi Carlile     ",NA,"Tuesday",2007-04-24,"",""
"4574","Birchmere","      Asia     ",NA,"Tuesday",2007-06-26,"",""
"4575","Birchmere","      Colin Hay"," The Greencards    ","Monday",2007-07-23,"",""
"4576","Birchmere","      Isaac Hayes     ",NA,"Thursday",2007-01-25,"",""
"4577","Birchmere","      Dr. John     ",NA,"Monday",2007-02-12,"",""
"4578","Birchmere","      Jake Shimabukuro     ",NA,"Wednesday",2007-03-14,"",""
"4579","Birchmere","      Steve Tyrell     ",NA,"Sunday",2007-03-18,"",""
"4580","Birchmere","      Medeski"," Martin & Wood     ","Sunday",2007-04-29,"",""
"4581","Birchmere","      Boyz II Men     ",NA,"Sunday",2007-07-22,"",""
"4582","Birchmere","      Bellydance Superstars     ",NA,"Tuesday",2007-11-06,"",""
"4583","Birchmere","      Dwele     ",NA,"Tuesday",2007-08-21,"",""
"4584","Birchmere","      Josh Rouse     ",NA,"Monday",2007-04-23,"",""
"4585","Birchmere","      Nick Lowe and Ron Sexsmith     ",NA,"Monday",2007-09-17,"",""
"4586","Birchmere","      Rachael Yamagata"," Mandy Moore    ","Tuesday",2007-09-11,"",""
"4587","Birchmere","      Uncle Earl"," King Wilkie    ","Sunday",2007-09-16,"",""
"4588","Birchmere","      Cowboy Junkies"," The Wood Brothers    ","Thursday",2007-10-25,"",""
"4589","Birchmere","      Over the Rhine"," Rosie Thomas    ","Sunday",2007-10-28,"",""
"4590","Birchmere","      Robert Fripp And The League Of Crafty Guitarists     ",NA,"Monday",2007-10-29,"",""
"4591","Birchmere","      Pat McGee Band"," Josh Kelley    ","Tuesday",2007-10-30,"",""
"4592","Birchmere","      Arlo Guthrie     ",NA,"Thursday",2007-11-08,"",""
"4593","Birchmere","      Stephen Kellogg And The Sixers"," Alternate Routes    ","Thursday",2007-11-29,"",""
"4594","Birchmere","      Elliott Yamin"," Josh Hoge    ","Thursday",2007-05-17,"",""
"4595","Birchmere","      Squirrel Nut Zippers"," The Old Ceremony    ","Tuesday",2007-02-06,"",""
"4596","Birchmere","      Burlesque-A-Pades     ",NA,"Wednesday",2007-02-14,"",""
"4597","Birchmere","      North Mississippi Allstars"," Lucas Reynolds    ","Tuesday",2007-03-27,"",""
"4598","Birchmere","      Joan Armatrading"," Eric Hutchinson    ","Monday",2007-06-11,"",""
"4599","Birchmere","      Vinx and Jean-Luc Ponty     ",NA,"Wednesday",2007-06-20,"",""
"4600","Birchmere","      Southside Johnny & The Asbury Jukes"," Tony Rice","Wednesday",2007-12-26,"",""
"4601","Birchmere","      Peter Frampton     ",NA,"Monday",2007-09-24,"",""
"4602","Birchmere","      Peter Frampton     ",NA,"Tuesday",2007-09-25,"",""
"4603","Birchmere","      Don McLean     ",NA,"Thursday",2007-11-15,"",""
"4604","Birchmere","      Steve Vai     ",NA,"Sunday",2007-09-30,"",""
"4605","Birchmere","      Wayne Newton     ",NA,"Thursday",2007-10-18,"",""
"4606","Birchmere","      Michael Bolton     ",NA,"Thursday",2007-09-20,"",""
"4607","Birchmere","      Nitty Gritty Dirt Band     ",NA,"Wednesday",2007-08-22,"",""
"4608","Birchmere","      The Flatlanders     ",NA,"Thursday",2007-08-23,"",""
"4609","Birchmere","      The Flatlanders     ",NA,"Friday",2007-08-24,"",""
"4610","Birchmere","      Los Straitjackets"," Big Sandy and Paul Cebar    ","Saturday",2007-08-25,"",""
"4611","Birchmere","      Mandrill     ",NA,"Monday",2007-08-27,"",""
"4612","Birchmere","      The Puppini Sisters     ",NA,"Tuesday",2007-08-28,"",""
"4613","Birchmere","      The Ditty Bops     ",NA,"Tuesday",2007-09-04,"",""
"4614","Birchmere","      Scythian     ",NA,"Thursday",2007-09-06,"",""
"4615","Birchmere","      Seldom Scene"," Valerie Smith and Liberty Pike    ","Saturday",2007-09-08,"",""
"4616","Birchmere","      Spyro Gyra     ",NA,"Thursday",2007-09-13,"",""
"4617","Birchmere","      Johnny Winter     ",NA,"Friday",2007-09-14,"",""
"4618","Birchmere","      Marty Stuart     ",NA,"Wednesday",2007-09-19,"",""
"4619","Birchmere","      Jackopierce     ",NA,"Saturday",2007-09-22,"",""
"4620","Birchmere","      The Wailin' Jennys"," Tracy Grammer    ","Wednesday",2007-09-26,"",""
"4621","Birchmere","      Nellie McKay     ",NA,"Thursday",2007-09-27,"",""
"4622","Birchmere","      The Kinsey Sicks     ",NA,"Friday",2007-09-28,"",""
"4623","Birchmere","      Keiko Matsui     ",NA,"Thursday",2007-10-04,"",""
"4624","Birchmere","      Keiko Matsui     ",NA,"Friday",2007-10-05,"",""
"4625","Birchmere","      Erin McKeown     ",NA,"Saturday",2007-10-06,"",""
"4626","Birchmere","      Raul Mid�_n     ",NA,"Monday",2007-10-08,"",""
"4627","Birchmere","      Oliver Mtukudzi"," Black Spirits    ","Tuesday",2007-10-09,"",""
"4628","Birchmere","      Hiroshima     ",NA,"Saturday",2007-10-13,"",""
"4629","Birchmere","      Tower of Power     ",NA,"Sunday",2007-10-14,"",""
"4630","Birchmere","      Loudon Wainwright III"," Leon Redbone    ","Monday",2007-10-15,"",""
"4631","Birchmere","      Mary Black     ",NA,"Tuesday",2007-10-16,"",""
"4632","Birchmere","      Laura Love"," Guy Davis    ","Wednesday",2007-10-17,"",""
"4633","Birchmere","      Cheryl Wheeler     ",NA,"Friday",2007-10-19,"",""
"4634","Birchmere","      Ledisi     ",NA,"Friday",2007-10-12,"",""
"4635","Birchmere","      Tuck And Patti     ",NA,"Saturday",2007-10-20,"",""
"4636","Birchmere","      Kathy Mattea     ",NA,"Sunday",2007-10-21,"",""
"4637","Birchmere","      Billy Bragg     ",NA,"Monday",2007-10-22,"",""
"4638","Birchmere","      Guitars And Saxes"," K Whalum and G. Albright    ","Wednesday",2007-10-24,"",""
"4639","Birchmere","      Cowboy Junkies"," The Wood Brothers    ","Friday",2007-10-26,"",""
"4640","Birchmere","      Rhonda Vincent And The Rage     ",NA,"Saturday",2007-10-27,"",""
"4641","Birchmere","      Pat McGee Band"," Josh Kelley    ","Wednesday",2007-10-31,"",""
"4642","Birchmere","      Arlo Guthrie     ",NA,"Wednesday",2007-11-07,"",""
"4643","Birchmere","      Asleep At the Wheel     ",NA,"Tuesday",2007-11-13,"",""
"4644","Birchmere","      To Grover"," Love","Sunday",2007-11-18,"",""
"4645","Birchmere","      Stephen Kellogg     ",NA,"Thursday",2007-11-29,"",""
"4646","Birchmere","      Lyle Lovett     ",NA,"Sunday",2007-11-11,"",""
"4647","Birchmere","      John Corbett Band     ",NA,"Monday",2007-11-19,"",""
"4648","Birchmere","      Vanessa Carlton     ",NA,"Wednesday",2007-11-21,"",""
"4649","Birchmere","      Ben Lee"," Cary Brothers","Monday",2007-11-26,"",""
"4650","Birchmere","      A Soulful Christmas"," Brian Culberston and Ledisi    ","Tuesday",2007-11-27,"",""
"4651","Birchmere","      A Soulful Christmas"," Brian Culberston and Ledisi    ","Wednesday",2007-11-28,"",""
"4652","Birchmere","      Mindi Abair"," Rick Braun and Peter White    ","Monday",2007-12-03,"",""
"4653","Birchmere","      Mindi Abair"," Rick Braun and Peter White    ","Tuesday",2007-12-04,"",""
"4654","Birchmere","      Tony Rice"," Larry Keel & Natural Bridge and Larry Keel    ","Wednesday",2007-12-05,"",""
"4655","Birchmere","      The Roches     ",NA,"Saturday",2007-12-08,"",""
"4656","Birchmere","      Hot Tuna"," Jorma Kaukonen    ","Sunday",2007-12-09,"",""
"4657","Birchmere","      Raul Malo     ",NA,"Tuesday",2007-12-11,"",""
"4658","Birchmere","      Boyz II Men     ",NA,"Wednesday",2007-12-12,"",""
"4659","Birchmere","      Saffire - The Uppity Blues Women     ",NA,"Friday",2007-12-14,"",""
"4660","Birchmere","      Aimee Mann     ",NA,"Tuesday",2007-12-18,"",""
"4661","Birchmere","      Boney James     ",NA,"Wednesday",2007-12-19,"",""
"4662","Birchmere","      Good for the Jews     ",NA,"Friday",2007-12-21,"",""
"4663","Birchmere","      Good for the Jews     ",NA,"Saturday",2007-12-22,"",""
"4664","Birchmere","      Kenny ""Babyface"" Edmonds     ",NA,"Monday",2007-12-10,"",""
"4665","Birchmere","      Todd Rundgren     ",NA,"Sunday",2007-12-16,"",""
"4666","Birchmere","      Southside Johnny & The Asbury Jukes"," The Ashbury Jukes    ","Thursday",2007-12-27,"",""
"4667","Birchmere","      Virginia Coalition"," Ari Hest    ","Friday",2007-12-28,"",""
"4668","Birchmere","      Robert Earl Keen     ",NA,"Wednesday",2007-11-14,"",""
"4669","Birchmere","      The Nighthawks"," Billy Price    ","Sunday",2007-12-30,"",""
