"","artist","Genres","Labels","Associated acts","Birth name","Born","Died","Instruments","Notable instruments","Occupation(s)","Origin","Years active","Members","Past members","Website","Also known as"
"1","Lou Reed","Rock
experimental
proto-punk
glam rock
art rock","Pickwick
Verve
MGM
Cotillion
RCA
Arista
Sire
Warner Bros.","The Velvet Underground
Metal Machine Trio
Metallica
David Bowie
Mick Ronson
Gorillaz
Iggy Pop
The Killers","Lewis Allan Reed","(1942-03-02)March 2, 1942Brooklyn, New York, U.S.","October 27, 2013(2013-10-27) (aged 71)Southampton, New York, U.S.","Vocals
guitar
piano","Notable instruments","Musician
singer
songwriter
record producer
photographer","Freeport, New York, U.S.","1958–2013",NA,NA,NA,NA
"2","The Jesus Lizard","Noise rock, post-hardcore, alternative rock","Touch and Go, Capitol","The Denison/Kimball Trio, Scratch Acid, Rapeman, Phantom 309, Tomahawk, Qui, Legendary Shack Shakers, U.S.S.A., unFact",NA,NA,NA,NA,NA,NA,"Austin, Texas, United States","1987–1999, 2008–2010, 2017–present","David YowDavid Wm. SimsDuane DenisonMac McNeilly","Jim Kimball
Brendan Murphy",NA,NA
"3","Throwing Muses","Alternative rock, post-punk","4AD, Sire, Warner Bros.","50 Foot Wave, Lakuna, Belly, The Breeders",NA,NA,NA,NA,NA,NA,"Newport, Rhode Island, United States","1981–1991, 1992–1997, 2003–present","Kristin HershDavid NarcizoBernard Georges","Tanya Donelly
Leslie Langston
Fred Abong
Elaine Adamedes
Becca Blumen","throwingmuses.com",NA
"4","Fishbone","Alternative rock,[1]funk rock,[2]funk metal,[3]ska punk[4]","Columbia, DC-Jam Records, Rowdy, Hollywood, High Times Records, Sound In Color, Nuttsactor 5","Year of the Dragon, Dirty Walt & The Columbus Sanitation, Trulio Disgracias, Dr. Madd Vibe, The Seedy Arkhestra, The Soul of John Black, Red Hot Chili Peppers, The Big Ol' Nasty Getdown",NA,NA,NA,NA,NA,NA,"Los Angeles, California, United States","1979–present","Angelo Moore
John Norwood Fisher
Walter A. Kibby II
Philip ""Fish"" Fisher
John BighamRocky George
Jay Armant
Paul Hampton","Kendall Jones
Chris Dowd
Spacey T
Anthony Brewster
Dion Murdock
Tori Ruffin
Andre´ ""PaDre"" Holmes
Curtis Storey
John McKnight
Dre Gipson
Freddie Flint
John Steward","fishbone.net","Fishbone & Familyhood Nextperience"
"5","Meat Beat Manifesto","Post-industrial
electronic
industrial
experimental[1]","Mute,[2]Wax Trax!, Nothing, Brainwashed, Thirsty Ear,[3]Planet Mu, Tino Corp.",NA,NA,NA,NA,NA,NA,NA,"Swindon, Wiltshire, England","1987–present","Jack Dangers
Lynn FarmerMark Pistel
Benjamin Stokes","Marcus Adams
Colin James
Craig Morrison
Mike Powell
Jonny Stephens
Jon Wilson","www.meatbeatmanifesto.com",NA
"6","Ween","Alternative rock
experimental rock
lo-fi
psychedelic rock
comedy rock","Elektra
Sire
Chocodog
Sanctuary
Rounder
Shimmy Disc
Schnitzel","Moistboyz
Freeman
Z-Rock Hawaii
The Dean Ween Group
Gene Ween Band
The Jimmy Wilson Group
Skunk
Regressive Aid
Rollins Band",NA,NA,NA,NA,NA,NA,"New Hope, Pennsylvania, U.S.","1984–2012
2015–present","Dean WeenGene Ween",NA,"ween.com",NA
"7","Cocteau Twins","Dream pop[1][2]
ethereal wave[3]
gothic rock[4]
post-punk[5]","4AD
Relativity
Capitol
Fontana
Bella Union","This Mortal Coil
Faye Wong
Harold Budd
Seefeel",NA,NA,NA,NA,NA,NA,"Grangemouth, Scotland","1979–1997",NA,"Elizabeth Fraser
Robin Guthrie
Will Heggie
Simon Raymonde","www.cocteautwins.com",NA
"8","Front Line Assembly","Industrial
electro-industrial
EBM
industrial metal","KK
Dossier
Third Mind
Wax Trax!
Roadrunner
Cleopatra
Off Beat
Metropolis
Dependent
Zoth Ommog","Blackland
Conjure One
Cyberaktif
Decree
Delerium
Equinox
Fauxliage
Fear Factory
Intermix
Left Spine Down
Mutual Mortuary
Noise Unit
Pro-Tech
Revelstoker
Skinny Puppy
Stiff Valentine
Synæsthesia
Unit 187
Will",NA,NA,NA,NA,NA,NA,"Vancouver, British Columbia, Canada","1986 (1986)–present","Bill LeebJeremy InkelJared Slingerland","Michael BalchRhys FulberChris Peterson","www.mindphaser.com",NA
"9","Porno for Pyros","Alternative rock","Warner Bros.","Jane's Addiction
Banyan
Class of '99",NA,NA,NA,NA,NA,NA,"Los Angeles, California, United States","1992–1997, 2009",NA,"Perry Farrell
Stephen Perkins
Peter DiStefano
Martyn LeNoble
Mike Watt",NA,NA
"10","Del Amitri","Alternative rock","Chrysalis, A&M, Mercury",NA,NA,NA,NA,NA,NA,NA,"Glasgow, Scotland","1983–2002, 2013–present","Justin CurrieIain HarvieAndy AlstonAshley Soan
Kris Dollimore","Donald Bentley
James M Scobbie
Paul Tyagi
Bryan TollandMick SlavenDavid Cummings
Brian McDermott
Jon McLoughinMark Price","delamitri.org",NA
"11","The Dandy Warhols","Alternative rock[1][2]
psychedelic rock
power pop
neo-psychedelia[3][4]
garage rock[5]
synthpop[6][7]
shoegaze","Beat the World
Capitol
The End
Tim/Kerr
Dine Alone","The Brian Jonestown Massacre
Pete International Airport
Immigrant Union
Logan Lynn
One Model Nation
The Upsidedown",NA,NA,NA,NA,NA,NA,"Portland, Oregon, United States","1994–present","Courtney Taylor-TaylorPeter HolmströmZia McCabeBrent DeBoer","Eric Hedford","http://www.dandywarhols.com/",NA
"12","Buffalo Tom","Alternative rock, power pop, grunge","SST, RCA, Situation Two, Megadisc, Ra, Beggars Banquet, East West, Polydor, Ammal/New West, Scrawny Music",NA,NA,NA,NA,NA,NA,NA,"Boston, Massachusetts, United States","1987–present","Bill Janovitz
Chris Colbourn
Tom Maginnis",NA,"Official website",NA
"13","Electrafixion","Alternative rock","Warner Music
PhreeSire Records (US)Elektra Records (US)","Echo & the Bunnymen",NA,NA,NA,NA,NA,NA,"England, United Kingdom","1994–1996",NA,"Ian McCullochWill Sergeant
Leon de Sylva
Tony McGuigan",NA,NA
"14","Fugazi","Post-hardcore
art punk
alternative rock
experimental rock
noise rock
emo","Dischord","Ataxia
Girls Against Boys
Embrace
The Evens
Minor Threat
Rites of Spring
The Teen Idles
One Last Wish
Happy Go Licky
Egg Hunt
Skewbald/Grand Union
Pailhead",NA,NA,NA,NA,NA,NA,"Washington, D.C., U.S.","1986–2002 (on hiatus since 2003)","Ian MacKaye
Joe Lally
Brendan Canty
Guy Picciotto","Colin Sears","www.dischord.com/band/fugazi",NA
"15","Elliott Smith","Indie folk[1]
indie pop[2]
indie rock[3]
lo-fi[4]","Virgin/Caroline
Cavity Search
Kill Rock Stars
Suicide Squeeze
DreamWorks
ANTI-
Domino","Heatmiser
Quasi
Mary Lou Lord
Pete Krebs
No. 2
Beck","Steven Paul Smith","(1969-08-06)August 6, 1969Omaha, Nebraska, U.S.","October 21, 2003(2003-10-21) (aged 34)Los Angeles, California, U.S.","Guitar
vocals
piano
clarinet
bass
drums
harmonica",NA,"Musician
singer-songwriter",NA,"1991–2003",NA,NA,"Official website",NA
"16","Deep Purple","Hard rock
heavy metal
blues rock
progressive rock
psychedelic rock (early)","Tetragrammaton
Warner Bros.
Polydor
BMG
EMI
Edel","The Maze
Episode Six
Rainbow
Blackmore's Night
Paice Ashton Lord
Whitesnake
Black Sabbath
Gillan & Glover
Hughes Turner Project
Living Loud
Rock Aid Armenia
WhoCares
Trapeze
Hughes/Thrall
Black Country Communion
Gillan
Captain Beyond",NA,NA,NA,NA,NA,NA,"Hertford, Hertfordshire, England","1968–1976, 1984–present","Ian Paice
Roger Glover
Ian Gillan
Steve Morse
Don Airey","Jon Lord
Ritchie Blackmore
Rod Evans
Nick Simper
Glenn Hughes
David Coverdale
Tommy Bolin
Joe Lynn Turner
Joe Satriani","deeppurple.com","Roundabout"
"17","Descendents","Punk rock
hardcore punk
melodic hardcore
pop punk","Orca
New Alliance
SST
Epitaph
Fat Wreck Chords","All
Black Flag
Only Crime
The Last",NA,NA,NA,NA,NA,NA,"Manhattan Beach, California, United States","1977–83
1985–87
1995–97
2002–04
2010–present","Bill Stevenson
Milo Aukerman
Karl Alvarez
Stephen Egerton","Tony Lombardo
Frank Navetta
Ray Cooper
Doug Carrion
David Nolte","descendentsonline.com",NA
"18","Bob Mould","Punk rock[1]
alternative rock[1]","Merge, Creation, Granary Music, Full Frequency, New Alliance, Reflex, Restless, Rhino, Rough Trade, Rykodisc, SOL, SST, Virgin, Warner Bros., Yep Roc","Blowoff, Hüsker Dü, Loud Bomb, Sugar, Deep Dish, Foo Fighters","Robert Arthur Mould","(1960-10-16) October 16, 1960 (age 56)",NA,"Guitar, vocals, keyboards, bass, percussion","Notable instruments","Musician, producer, singer-songwriter, dramatist, disc jockey","Malone, New York, United States","1979–present",NA,NA,"www.bobmould.com",NA
"19","Soul Coughing","Alternative rock, alternative hip hop, electronica","Slash/Warner Bros./Tommy Boy",NA,NA,NA,NA,NA,NA,NA,"New York City","1992–2000","Mike DoughtyMark Degli AntoniSebastian SteinbergYuval Gabay",NA,"www.scug.net",NA
"20","Steve Earle","Country, country rock, outlaw country, folk[1]","Uni. MCA Nashville, New West, E² Records, Warner Bros.","Townes Van Zandt, Guy Clark, Del McCoury Band, Lucinda Williams, Shawn Colvin, Ray Wylie Hubbard, Mary Cutrufello, James McMurtry, Joan Baez","Stephen Fain Earle","(1955-01-17) January 17, 1955 (age 62)Ft. Monroe, Virginia, U.S.",NA,"Vocals, guitar, mandolin, harmonica, banjo, bouzouki, bass guitar",NA,"Musician, singer-songwriter, writer, actor","San Antonio, Texas, U.S.","1974–present",NA,NA,"www.steveearle.com",NA
"21","The Pogues","Celtic punk, folk punk","Stiff Records, Island, Pogue Mahone Records, Chameleon",NA,NA,NA,NA,NA,NA,NA,"London, England","1982–1996, 2001–2014",NA,"Shane MacGowanSpider StacyJem FinerJames Fearnley
Andrew Ranken
Darryl HuntTerry WoodsCait O'RiordanPhil ChevronJoe Strummer
Dave CoulterJames McNally
Jamie Clarke","Pogues.com","Pogue Mahone (1982–1984)"
"22","Marshall Crenshaw","Rock","Warner Bros., Razor and Tie, Red River",NA,"Marshall Howard Crenshaw","(1953-11-11) November 11, 1953 (age 63)Detroit, Michigan, U.S.",NA,"Vocals, guitar, bass, keyboards, drums, percussion",NA,"Musician, singer, songwriter",NA,"1981–present",NA,NA,"marshallcrenshaw.com",NA
"23","The Tragically Hip","Rock
alternative rock
folk rock","Universal Music Canada
Sire
MCA
Atlantic
Zoe",NA,NA,NA,NA,NA,NA,NA,"Kingston, Ontario, Canada","1984–present","Gord DownieRob Baker
Gord Sinclair
Johnny Fay
Paul Langlois","Davis Manning","thehip.com",NA
"24","The Afghan Whigs","Alternative rock","Sub Pop, Elektra, Columbia, Blast First, Mute","The Twilight Singers, The Gutter Twins",NA,NA,NA,NA,NA,NA,"Cincinnati, Ohio, United States","1986–2001, 2006, 2012–present","Greg DulliJohn Curley
Rick G. Nelson
Jon Skibic
Patrick Keeler","Dave Rosser
Rick McCollum
Steve EarlePaul Buchignani
Michael Horrigan
Doug Falsetti
Cully SymingtonMark McGuire",NA,NA
"25","The Lemonheads","Punk rock, alternative rock, college rock, power pop","Taang! (1986–1990), Atlantic (1990–1996), Vagrant (2006–2008), The End (2009–), Fire (2017–present)","ALL, Black Flag, Blake Babies, Bullet LaVolta, Descendents, Dinosaur Jr, Godstar, Juliana Hatfield, The Plunderers, Smudge, Sneeze, Varsity Drag",NA,NA,NA,NA,NA,NA,"Boston, Massachusetts, United States","1986–1997
2005–present","Evan Dando","Vess RuhtenbergCorey Loog BrennanJohn Strohm
Doug TrachtenJesse Peretz
Devon AshleyNic Dalton
David RyanPatrick Murphy
Ben Daughtry
Byron Hoag
John Kent
Mark ""Budola"" NewmanKarl AlvarezBill Stevenson
P. David HazelKenny Lyon
Mark Cutsinger","www.thelemonheads.net",NA
"26","Maria McKee","Pop rock, alternative rock, alternative country, rockabilly (early)","Geffen, Viewfinder/Little Diva, Eleven Thirty, Cooking Vinyl",NA,"Maria Luisa McKee","(1964-08-17) August 17, 1964 (age 53)",NA,NA,NA,NA,"Los Angeles, California, United States","1982–present",NA,NA,"mariamckee.org",NA
"27","Michelle Shocked","Alternative folk","Mercury/Polygram Records, Private Music",NA,"Karen Michelle Johnston[1]","(1962-02-24) February 24, 1962 (age 55)[1]",NA,"Vocals, guitar",NA,"Musician, songwriter","Dallas, Texas[2]",NA,NA,NA,"MichelleShocked.com",NA
"28","The Mighty Mighty Bosstones","Ska punk
ska-core
third wave ska
alternative","Taang!
Mercury
Big Rig
Island Def Jam
SideOneDummy","Impact Unit
Gang Green
Avoid One Thing
Spring Heeled Jack
The Kickovers
Chubby
Cry Tuff Council
The Hippos",NA,NA,NA,NA,NA,NA,"Boston, Massachusetts, U.S.","1983–2003
2007–present","Dicky BarrettTim Burton
Ben CarrJoe Gittleman
John Goetchius
Lawrence KatzChris Rhodes
Leon SilvaJoe Sirois","Nate Albert
Tim BridewellDennis Brockenborough
Josh Dalsimer
Roman Fleysher
Kevin Lenear","www.bosstonesmusic.com","The Bosstones"
"29","Bruce Cockburn","Folk, rock",NA,NA,"Bruce Douglas Cockburn","(1945-05-27) May 27, 1945 (age 72)Ottawa, Ontario, Canada",NA,"Guitar, vocals",NA,NA,NA,"1967–present",NA,NA,"www.BruceCockburn.com",NA
"30","Lisa Loeb","Pop, rock","429 Records, Geffen, A&M, Artemis, Zoë","Liz and Lisa","Lisa Anne Loeb","(1968-03-11) March 11, 1968 (age 49)Bethesda, Maryland, U.S.",NA,"Guitar, vocals",NA,"Singer-songwriter, producer, artist, actress, author, philanthropist","Dallas, Texas","1989–present",NA,NA,"lisaloeb.com",NA
"31","Faith No More","Alternative metal
experimental rock
funk metal","Slash
London
Mordam
Reclamation!
Ipecac","Mr. Bungle
Pop-O-Pies",NA,NA,NA,NA,NA,NA,"San Francisco, California, United States","1979–1998
2009–present","Mike Bordin
Roddy Bottum
Billy Gould
Mike Patton
Jon Hudson","List of Faith No More band members","fnm.com","Faith No Man
Sharp Young Men"
"32","KMFDM","Industrial rock
industrial metal
electro-industrial","KMFDM
Metropolis
Z
Skysaw
Wax Trax!
Sanctuary
TVT","MDFMK
Excessive Force
Pig
KGC
Slick Idiot
Schwein
The Spittin' Cobras",NA,NA,NA,NA,NA,NA,"Hamburg, Germany","1984–1999
2002–present","Sascha Konietzko
Lucia Cifarelli
Jules Hodgson
Andy Selway
Steve White","Mark Durante
En Esch
Rudolf Naomi
Bill Rieflin
Günter Schulz
Tim Skold
Raymond Watts","kmfdm.net",NA
"33","The Verve","Alternative rock
psychedelic rock
dream pop
shoegazing
Britpop
space rock","EMI
Hut
Virgin
Parlophone
Vernon Yard","Richard Ashcroft
Black Submarine
The Shining
RPA & The United Nations of Sound",NA,NA,NA,NA,NA,NA,"Wigan, Greater Manchester, England","1990–1995, 1997–1999, 2007–2009",NA,"Richard AshcroftNick McCabeSimon JonesPeter SalisburySimon Tong","theverve.co.uk",NA
"34","Juliana Hatfield","Alternative rock, indie rock, indie pop","American Laundromat Records, Mammoth, Atlantic, Ye Olde Label","Blake Babies, Some Girls, Evan Dando, The Lemonheads, Minor Alps, The I Don't Cares",NA,"(1967-07-27) July 27, 1967 (age 50)Wiscasset, Maine, U.S.",NA,"Vocals, guitar, bass, drums, piano, organ, keyboards, mellotron, percussion, harmonica",NA,"Musician, singer-songwriter, producer",NA,"1986–present",NA,NA,"www.JulianaHatfield.com",NA
"35","Our Lady Peace","Alternative rock
post-grunge
hard rock
art rock","Sony Music Canada
Relativity
Columbia
Coalition Music (Records)
Warner","Crash Karma, Fair Ground",NA,NA,NA,NA,NA,NA,"Toronto, Ontario, Canada","1992–present","Raine Maida
Duncan Coutts
Steve Mazur
Jason Pierce","Jeremy Taggart
Mike Turner
Jamie Edwards
Robin Hatch
Chris Eacrett
Jim Newell
Paul Martin","ourladypeace.com",NA
"36","Dinosaur Jr.","Alternative rock
indie rock[1][2]
noise rock[3][4]","Joyful Noise Recordings
Homestead
SST
Blanco y Negro/Sire
Merge
Fat Possum
PIAS Recordings
Jagjaguwar
Blast First
Au Go Go","Sebadoh
Deep Wound
J Mascis and the Fog
Sonic Youth
Witch
Folk Implosion
Kevin Shields
Heavy Blanket",NA,NA,NA,NA,NA,NA,"Amherst, Massachusetts, U.S.","1984–1997, 2005–present","J Mascis
Lou Barlow
Murph","Mike Johnson
George Berz","dinosaurjr.com","Dinosaur"
"37","The Sundays","Alternative rock, dream pop, jangle pop, indie pop","Rough TradeGeffenParlophone","Jim JimineeDeparture LoungeStar 69",NA,NA,NA,NA,NA,NA,"London, England","1988–1997",NA,"David GavurinHarriet Wheeler
Patrick Hannan
Paul Brindley",NA,NA
"38","Wilco","Alternative rock[1]
experimental rock[2]
art rock[3]
indie rock[4]
alternative country[5]","dBpm Records, Nonesuch, Reprise","Uncle Tupelo, Loose Fur, Billy Bragg, The Minus 5, Son Volt, Golden Smog",NA,NA,NA,NA,NA,NA,"Chicago, Illinois, U.S.","1994 (1994)–present","Jeff TweedyJohn StirrattGlenn KotcheMikael JorgensenNels ClinePat Sansone","Ken CoomerMax JohnstonBrian HennemanJay BennettBob EganLeroy Bach","wilcoworld.net",NA
"39","Better Than Ezra","Alternative rock[1]
post-grunge[2]
roots rock (early)[1]","Artemis
Swell Records/Elektra
Sanctuary
The End",NA,NA,NA,NA,NA,NA,NA,"Baton Rouge, Louisiana, U.S.","1988–present","Kevin Griffin
Tom Drummond
James Arthur Payne
Michael Jerome","Joel Rundell
Cary Bonnecaze
Travis McNabb","betterthanezra.com",NA
"40","Catherine Wheel","Alternative rock, shoegazing","Wilde Club, Fontana, Mercury, Columbia, Chrysalis",NA,NA,NA,NA,NA,NA,NA,"Great Yarmouth, England","1990–2000",NA,"Rob Dickinson
Brian Futter
Dave Hawes
Neil Sims
Ben Ellis","facebook.com/thecatherinewheel",NA
"41","The Orb","Ambient house, electronica, dub, IDM, chill-out, trip hop","Big Life, Island, Badorb.com, Kompakt, Malicious Damage, Mercury, MCA, Columbia","The KLF, Sun Electric, System 7, FFWD, Youth, Transit Kings, David Gilmour, Lee Scratch Perry",NA,NA,NA,NA,NA,NA,"London, England","1988–present","Alex PatersonThomas Fehlmann","Jimmy CautyKris Weston
Andy FalconerAndy HughesSimon Phillips
Nick Burton","www.theorb.com",NA
"42","Citizen Cope","Alternative rock, soul","DreamWorks, Arista, RCA","Basehead
Carlos Santana
Dido
Easy Star All-Stars","Clarence Greenwood","(1968-05-20) May 20, 1968 (age 49)Memphis, Tennessee, U.S.",NA,"Guitar, vocals",NA,"Songwriter, producer","Washington, D.C., U.S.","1991–present",NA,NA,"citizencope.com",NA
"43","Superchunk","Indie rock, alternative rock, punk rock","Matador, Merge","Bricks
Wwax
Slushpuppies
Portastatic
Seam
The Mountain Goats
Rocket From the Crypt
Bob Mould
Humidifier",NA,NA,NA,NA,NA,NA,"Chapel Hill, North Carolina, United States","1989–present","Mac McCaughan
Laura Ballance
Jim Wilbur
Jon Wurster","Chuck Garrison
Jack McCook","superchunk.com",NA
"44","Maceo Parker","Funk, soul jazz, P-Funk","Verve, What Are Records?, Heads Up Minor Music","James Brown, Maceo & All the King's Men, Maceo & the Macks, The J.B.'s, Parliament, Prince, The Horny Horns",NA,"(1943-02-14) February 14, 1943 (age 74)Kinston, North Carolina, United States",NA,"Saxophone, flute, vocals",NA,"Musician, band leader",NA,"1962–present",NA,NA,"Maceo.com",NA
"45","John Lydon","Punk rock
post-punk
alternative rock
alternative dance",NA,"Sex Pistols
Public Image Ltd
Afrika Bambaataa
Leftfield","John Joseph Lydon","(1956-01-31) 31 January 1956 (age 61)Holloway, London, England",NA,"Vocals
keyboards
violin
saxophone
guitar
bass",NA,"Singer
songwriter
musician",NA,"1975–present",NA,NA,NA,"Johnny Rotten"
"46","Stereolab","Avant-pop[1][2]
indie pop[3][4]
art pop[5]
indie electronic[6]
indie rock[7]
post-rock[7]
experimental rock[4]
experimental pop[8]","Duophonic
Elektra
Too Pure
4AD
Slumberland
Drag City","McCarthy
Monade
Nurse with Wound
Snowpony
High Llamas
Imitation Electric Piano
Atlas Sound",NA,NA,NA,NA,NA,NA,"London, England","1990–2009 (indefinite hiatus)","Tim Gane
Lætitia Sadier
Simon Johns
Joseph Watson
Julien Gasc","Mary Hansen
Andy Ramsay
Sean O'Hagan
Duncan Brown
Joseph Walters
Katharine Gifford
Morgane Lhote
Dominic Jeffery
Richard Harrison
Joe Dilworth
Martin Kean
Gina Morris","stereolab.co.uk",NA
"47","The Cramps","Punk rock, gothabilly,[1][2]psychobilly, garage punk, garage rock, surf punk","Illegal, I.R.S., Big Beat, Enigma, The Medicine Label, Epitaph, Vengeance",NA,NA,NA,NA,NA,NA,NA,"Sacramento, California, United States","1976–2009,",NA,NA,"thecramps.com",NA
"48","Papas Fritas","indie rock, pop","Minty Fresh",NA,NA,NA,NA,NA,NA,NA,"Somerville, Massachusetts","1992-2000","Shivika Asthana
Keith Gendel
Tony Goddess",NA,"papasfritas.com",NA
"49","Echo & The Bunnymen","New wave,[1][2][3]post-punk[4][5][6]","Zoo, Sire, Warner Bros., Euphoric, London, Cooking Vinyl, Ocean Rain","Electrafixion",NA,NA,NA,NA,NA,NA,"Liverpool, England","1978–1993, 1996–present","Ian McCulloch
Will Sergeant","Les Pattinson
Pete de Freitas (deceased)
Jake Brockman (deceased)
Noel Burke
Damon Reece","www.bunnymen.com",NA
"50","Megadeth","Heavy metal
thrash metal
speed metal","Combat
Capitol
Sanctuary
Roadrunner
Tradecraft","Metallica
MD.45
F5
Slayer
Angra
Lamb of God
Anthrax
Soilwork
White Lion",NA,NA,NA,NA,NA,NA,"Los Angeles, California, U.S.","1983–2002
2004–present","Dave Mustaine
David Ellefson
Kiko Loureiro
Dirk Verbeuren","List of Megadeth members","www.megadeth.com",NA
"51","Patty Griffin","Americana, Folk, Folk Rock, Alt. Country","A&MATO RecordsCredential RecordingsNew West Records","Dixie ChicksEmmylou HarrisSweet Harmony Traveling RevueBuddy MillerRobert PlantJoshua RadinBand of Joy","Patricia Jean Griffin","(1964-03-16) March 16, 1964 (age 53)",NA,"Vocals, guitar, piano",NA,"Musician, songwriter","Old Town, Maine, US","1992–present",NA,NA,"www.pattygriffin.com",NA
"52","Patti Smith","Punk rock[1]
art punk[2]
proto-punk[3]
art rock[4]","Arista
Columbia","Tom Verlaine
Blue Öyster Cult","Patricia Lee Smith","(1946-12-30) December 30, 1946 (age 70)Chicago, Illinois, U.S.",NA,"Vocals
guitar
clarinet",NA,"Singer-songwriter
poet
visual artist
author","Deptford Township, New Jersey, U.S.","1971–present",NA,NA,"pattismith.net",NA
"53","The Seahorses","Alternative rock, indie rock, progressive rock","Geffen","The Stone Roses, The Yards, Rick Witter & The Dukes, The Shining",NA,NA,NA,NA,NA,NA,"York, England","1996–1999",NA,"John SquireStuart FletcherChris Helme
Andy Watts
Mal Scott
Toby DrummondMark Heaney",NA,NA
"54","Supergrass","Alternative rock, Britpop, indie rock","Parlophone, Sub Pop, Backbeat, Island Def Jam, Capitol, Supergrass, Cooking Vinyl","The JennifersDiamond Hoo Ha MenThe HotratsdB BandLodger (British band)",NA,NA,NA,NA,NA,NA,"Wheatley, Oxfordshire, England","1993–2010",NA,"Gaz CoombesDanny GoffeyMick QuinnRob Coombes","supergrass.com",NA
"55","Fountains of Wayne","Power pop[1]
alternative rock[1]
geek rock[2]","Atlantic
S-Curve
Virgin
Yep Roc
Scratchie",NA,NA,NA,NA,NA,NA,NA,"New York City, New York, U.S.","1995–2013","Chris CollingwoodAdam SchlesingerJody PorterBrian Young",NA,"fountainsofwayne.com",NA
"56","Graham Parker","Rock, new wave, pub rock, soul, rhythm and blues","Arista, Bloodshot, Buy or Die, Capitol, Dakota Arts, Demon, Elektra, Hannibal, Hip-O, Mercury, Razor & Tie, RCA, Rebound, Rock the House Entertainment Group, UpYours, Vertigo Canada & UK, Windsong UK","The Rumour, The Figgs",NA,"(1950-11-18) 18 November 1950 (age 66)
London, England",NA,"Vocals, guitar",NA,"Singer, songwriter, musician, writer",NA,"1970s–present",NA,NA,"grahamparker.net",NA
"57","Silverchair","Grunge
post-grunge
art rock
alternative rock","Murmur
Sony
Epic
Eleven
Atlantic","The Dissociatives
The Mess Hall
Tambalane
Powderfinger",NA,NA,NA,NA,NA,NA,"Newcastle, New South Wales, Australia","1992 (1992)–2011 (2011) (hiatus)","Daniel JohnsBen GilliesChris Joannou",NA,"chairpage.com","Innocent Criminals, The George Costanza Trio, Short Elvis"
"58","You Am I","Alternative rock","Timberyard, rooArt/Ra/WEA, BMG, Virgin/EMI, Restless","The Pictures
Tex Perkins
The Wrights",NA,NA,NA,NA,NA,NA,"Sydney, New South Wales, Australia","1989 (1989)–present","Tim Rogers
David Lane
Andy Kent
Rusty Hopkinson","Jaimme Rogers
Nick Tischler
Mark Tunaley
Greg Hitchcock","youami.com.au",NA
"59","Beth Orton","Folktronica, folk rock, trip hop","Heavenly (1996–2005)EMI-UK (2005–present)Astralwerks (2003–2010)ANTI- (2010– )","The Chemical Brothers, William Orbit","Elizabeth Caroline Orton","(1971-07-02) 2 July 1971 (age 46)East Dereham, Norfolk, England",NA,"Vocals, guitar, keyboards, synthesizer",NA,"Singer-songwriter","Norwich, England","1993–present",NA,NA,"BethOrtonOfficial.com",NA
"60","Spiritualized","Space rock, neo-psychedelia","Dedicated
Double Six
Fat Possum",NA,NA,NA,NA,NA,NA,NA,"Rugby, England, United Kingdom","1990–present","Jason Pierce
Thomas Wayne
Tom Edwards
Doggen
John Coxon
Kevin 'Kevlar' Bales","Will Carruthers
Thighpaulsandra
Jonny Mattock
Mark Refoy
Kate Radley
Sean Cook
Mike Mooney
Gregg Hale
Damon Reece
Ray Dickaty
Sam Freeman
Richard Warren","www.spiritualized.com",NA
"61","Soul Asylum","Alternative rock","A&M, Columbia, Legacy, Twin/Tone, 429 Records",NA,NA,NA,NA,NA,NA,NA,"Minneapolis, Minnesota, United States","1981–present","Dave PirnerMichael Bland
Winston Roye
Ryan Smith","Dan MurphyKarl Mueller
Pat MorleyGrant YoungSterling CampbellJoey HuffmanIan MussingtonTommy Stinson
George Scot McKelveyPete Donnelly
Justin Sharbono","www.soulasylum.com",NA
"62","Matchbox Twenty","Alternative rock
post-grunge
pop rock","Melisma
Lava
Atlantic",NA,NA,NA,NA,NA,NA,NA,"Orlando, Florida, U.S.","1995–2004
2007–2008
2010–present","Rob Thomas
Kyle Cook
Brian Yale
Paul Doucette","Adam Gaynor","matchboxtwenty.com",NA
"63","Nothingface","Heavy metal
alternative metal
nu metal","DCide, TVT, S6","Hellyeah, Knives Out!, In for the Kill,[1][2]Kingdom of Snakes, Perfect Enemy, Coldwhitechrist, Blessed In Black (formerly Sever), Smile Culture,[3] Ingredient17[4]",NA,NA,NA,NA,NA,NA,"Washington D.C., U.S.","1993–2004, 2005–2009",NA,NA,"www.nothingface.com (Currently suspended)",NA
"64","Dropkick Murphys","Celtic punk
oi![1]
street punk[2][3]
hardcore punk[4]","Born & Bred
Hellcat
Taang!","Street Dogs
The Bruisers
The Ducky Boys
Everybody Out!
The Outlets
Pinkerton Thugs
The Business
Bruce Springsteen",NA,NA,NA,NA,NA,NA,"Quincy, Massachusetts","1996–present","Ken Casey
Matt KellyAl BarrJames LynchTim BrennanJeff DaRosa","Rick BartonMike McColganJeff Erna
Joe DelaneyMarc Orrell
Spicy McHaggisJosh ""Scruffy"" WallaceRyan Foltz","dropkickmurphys.com",NA
