"","artist","Genres","Labels","Associated acts","Birth name","Born","Died","Instruments","Notable instruments","Occupation(s)","Origin","Years active","Members","Past members","Website","Also known as"
"653","Orchestral Manoeuvres In The Dark","Electronic, synth-pop, new wave, experimental, post-punk","100%, Virgin, Dindisc, Factory, Bright Antenna A&M[1]Epic[2]","The Id, Dalek I Love You, Godot, The Listening Pool, Atomic Kitten, Onetwo",NA,NA,NA,NA,NA,NA,"Meols, Wirral, Merseyside, England","1978–1996, 2006–present","Andy McCluskeyPaul HumphreysMartin CooperStuart Kershaw","Dave HughesMalcolm Holmes
Michael Douglas
Graham Weir
Neil Weir
Phil CoxonNigel Ipinson
Abe Jukes","omd.uk.com","OMD"
"654","Vieux Farka Toure","Blues, Malian folk, World, Rock, Reggae, Soul,","Modiba, Six Degrees Records",NA,NA,NA,NA,NA,NA,NA,"Bamako, Mali","2006–present",NA,NA,"www.vieuxfarkatoure.com",NA
"655","The Pharcyde","Alternative hip hop","Delicious Vinyl, Chapter One","The Wascals, The Roots, J Dilla, Gorillaz, The Chemical Brothers, Souls of Mischief, Hieroglyphics, A Tribe Called Quest, De La Soul",NA,NA,NA,NA,NA,NA,"Los Angeles, California","1989–present","Imani
Bootie Brown","Slimkid3
Fatlip","thepharcyde.com",NA
"656","The Dodos","Indie folk[1]Psychedelic folk[2]Baroque pop[3]","PolyvinylDine Alone Records (Canada)Frenchkiss RecordsWichita Recordings",NA,NA,NA,NA,NA,NA,NA,"San Francisco, California, United States","2005–present","Meric Long
Logan Kroeber","Joe Haener
Keaton Snyder
Christopher Reimer (deceased)","Official website","Dodo Bird"
"657","Mates of State","Indie pop","Barsuk, Polyvinyl","Vosotros",NA,NA,NA,NA,NA,NA,"Lawrence, Kansas, United States","1997–present","Kori GardnerJason Hammel",NA,"www.matesofstate.com",NA
"658","Brantley Gilbert","Southern rock
country
rock","Average Joes
Valory Music Co.","Jason Aldean
Colt Ford
Thomas Rhett
Justin Moore
Rachel Farley
Eric Church","Brantley Keith Gilbert[1]","(1985-01-20) January 20, 1985 (age 32)[2]",NA,NA,NA,"Singer
songwriter
record producer","Jefferson, Georgia, U.S.[2]","2005–present",NA,NA,"brantleygilbert.com",NA
"659","B.o.B","Hip hop
pop[1]
rock","No Genre
Grand Hustle (current)
Rebel Rock
Atlantic (former)","Big Boi
T.I.
Mila J
Big K.R.I.T.
Sevyn Streeter
Jim Jonsin
Lupe Fiasco
Jon Bellion
Chip
Melanie Fiona
Rivers Cuomo
Bruno Mars","Bobby Ray Simmons Jr.","(1988-11-15) November 15, 1988 (age 28)Winston-Salem, North Carolina, U.S.",NA,"Vocals
guitar
piano",NA,"Rapper
singer
songwriter
record producer","Decatur, Georgia, U.S.","2006–present[2]",NA,NA,"bobatl.com","Bobby Ray"
"660","David Wax Museum","Folk",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009 (2009)–present","David WaxSuz Slezak",NA,"www.davidwaxmuseum.com",NA
"661","Underoath","Christian metal[1]
Christian hardcore
metalcore
post-hardcore
emo
screamo","Roadrunner
Solid State
Tooth & Nail
Takehold","This Runs Through
The Almost
Maylene and the Sons of Disaster
Sullivan
Sleepwave
Sleeping by the Riverside
Riot Head[2]",NA,NA,NA,NA,NA,NA,"Tampa, Florida, U.S.","1997–2013, 2015–present","Aaron Gillespie
Christopher Dudley
Timothy McTague
Grant Brandell
James Smith
Spencer Chamberlain","Band members","underoath777.com",NA
"662","Paul Simon","Folk
rock
pop
world","Columbia
Warner Bros.
Concord","Simon & Garfunkel
Art Garfunkel
Ladysmith Black Mambazo
Paul McCartney","Paul Frederic Simon","(1941-10-13) October 13, 1941 (age 75)Newark, New Jersey, U.S.",NA,"Vocals
guitar","Notable instruments","Musician
singer-songwriter
record producer
arranger","Queens, New York City, U.S.","1957–present",NA,NA,"paulsimon.com",NA
"663","The Twilight Singers","Indie rock, alternative rock","Columbia, One Little Indian, Sub Pop","The Afghan Whigs, The Gutter Twins, Mark Lanegan",NA,NA,NA,NA,NA,NA,"New Orleans, Louisiana, USA","2000–present","Greg DulliScott FordGreg Wieczorek
Rick G. Nelson","Dave Rosser (deceased)
Cully Symington
Jon Skibic
Michael Sullivan
John Nooney
Mathias Schneeberger
Peter Adams
Manuel Agnelli
Shawn Smith
Harold ""Happy"" Chichester
Bobby MacIntyre
Brian YoungJeff Klein
Michael Horrigan","www.thetwilightsingers.com",NA
"664","RX Bandits","Progressive rock, alternative rock, ska punk, reggae, post-hardcore","Antedote, Drive Thru, Mash Down Babylon, Sargent House","The Sound of Animals Fighting, Love You Moon, ME & LP, Apotheke, Technology, Coke Vs. Bills, Biceratops, C-Gak, Peace'd Out, Machines, Pebaluna, Chiodos, The Mars Volta, Circa Survive",NA,NA,NA,NA,NA,NA,"Seal Beach, California, United States","1995-present","Matt Embree
Steve Choi
Joseph Troy
Christopher Tsagakis","Steve Borth
Chris Sheets
Johnny Tsagakis
James Salomone
Rich Zahniser
Franz J. Worth
Noah Gaffney
Neil Burdick
Rich Balling","www.rxbanditsofficial.com","The Pharmaceutical Bandits"
"665","Marc Broussard","Soul, rock, pop, swamp pop","Island, Vanguard, Atlantic, G-Man Records",NA,NA,"(1982-01-14) January 14, 1982 (age 35)",NA,"Guitar",NA,"Singer-songwriter","Carencro, Louisiana, US","2004—present",NA,NA,"www.marcbroussard.com",NA
"666","Robert Randolph & The Family Band","Funk, soul, jam, gospel","Sony Masterworks, Warner Bros.","The Revivalists, The Word",NA,NA,NA,NA,NA,NA,"Orange, New Jersey, United States","2001–present","Robert Randolph
Marcus Randolph
Lenesha Randolph
Brett Haas","John Ginty
Jason Crosby
Danyel Morgan","www.robertrandolph.net",NA
"667","Scratch Acid","Post-hardcore, noise rock, post punk","Rabid CatTouch and Go","Stugots, Rapeman, The Jesus Lizard, Qui, unFact",NA,NA,NA,NA,NA,NA,"Austin, Texas, United States","1982–1987, 2006, 2011",NA,"David Yow
David Wm. Sims
Rey Washam
Brett Bradford",NA,NA
"668","Jeff Beck","Blues rock, jazz fusion, instrumental rock, hard rock, electronica, progressive rock","EMI, Epic","The Yardbirds, Jeff Beck Group, Beck, Bogert & Appice","Geoffrey Arnold Beck","(1944-06-24) 24 June 1944 (age 73)Wallington, Surrey, England, UK",NA,"Guitar
vocals","Notable instruments","Musician, songwriter, actor",NA,"1964–present",NA,NA,"www.jeffbeckofficial.com","A.N. Other"
"669","Blackfield","Art rock,[1]pop rock,[2][3]alternative rock, progressive rock[3][4]","Atlantic RecordsSnapper Music","Porcupine Tree",NA,NA,NA,NA,NA,NA,"United Kingdom, Israel","2001–present","Aviv GeffenSteven WilsonSeffy EfratiTomer Z
Eran Mitelman","Chris MaitlandDaniel Salomon",NA,NA
"670","Dirty Heads","Alternative hip hop
ska
acoustic rock
alternative rock
reggae fusion
reggae rock[1]","Executive
Five Seven","Sublime with Rome
Matisyahu
311
Pepper
Slightly Stoopid",NA,NA,NA,NA,NA,NA,"Huntington Beach, California","2006–present","Jared Watson (Dirty J)
Dustin Bushnell (Duddy B)
Jon Olazabal
Matt Ochoa
David Foral
Shawn Hagood","Josh Freese","www.dirtyheads.com",NA
